"plotcode" "block" "mixcode" "year" "season" "sowndiv" "Weed.bm" "Weed.cover" "Total.bm" "total.bm.year" "Alo.pra" "Ant.syl" "Arr.ela" "Dac.glo" "Ger.pra" "Phl.pra" "Poa.tri" "Tri.pra" "Tri.rep" "Alo.pra.bm" "Ant.syl.bm" "Arr.ela.bm" "Dac.glo.bm" "Ger.pra.bm" "Phl.pra.bm" "Poa.tri.bm" "Tri.pra.bm" "Tri.rep.bm" "Alo.pra.cover" "Ant.syl.cover" "Arr.ela.cover" "Dac.glo.cover" "Ger.pra.cover" "Phl.pra.cover" "Poa.tri.cover" "Tri.pra.cover" "Tri.rep.cover" "r_asym" "alpha" "a_intra" "a_inter" "n_dif_m" "f_dif_m" "nf_dif_m" "str_n_dif" "str_f_dif" "str_nf_dif" "com_mean" "com_sd" "com_stab" "sp_mean" "sp_sd" "sp_stab" "stab" "syn_l" "syn_g"
"B2B010" 2 "S02M31" 2015 1.5 2 0 30 24.35 23738.8305 0 0 0 0 1 1 0 0 0 0 0 0 0 24.35 0 0 0 0 0 0 0 0 20 0 0 0 0 1.13476418 0.0085618912866532 0.00472174611479148 0.0124020364585149 0.390410382544029 1.95654177145848 -1.56613138891445 -1.01296098048202 22.969690010766 -23.982650991248 130.609005538462 125.822058100976 1.03804537542729 65.3045027646154 81.5283530808544 1.15306611501658 1.13320137109436 0.608433911145964 -0.350846380284788
"B2B012" 2 "S03M14" 2015 1.5 3 0 6 221.89 23738.8305 0 0 0 1 1 0 0 1 0 0 0 0 185.6 0.15 0 0 36.14 0 0 0 0 55 15 0 0 20 0 0.994764607333333 0.00462583021653215 0.00685771795021051 0.00350988634969298 0.820367010044251 1.72193052205279 -0.901563512008537 -1.24246478008778 18.7169893603843 -19.959454140472 241.514817723077 162.968655416732 1.48197097844056 80.5049392389744 68.0557532387412 1.18843218185612 1.48197097838606 0.672145764194037 0.327866074555949
"B2B013" 2 "S02M51" 2015 1.5 2 0 20 39.45 23738.8305 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 37.35 0 2.1 0 0 0 0 0 0 15 0 50 0.852430482 0.0105580914416446 0.0118395404148391 0.00927664246845022 0.974981698698753 7.50549039037424 -6.53050869167549 -0.437713528607485 25.1056630859269 -25.5433766145344 141.379182523077 110.095575441771 1.28414953966839 70.6895912619231 66.6911018927004 0.9697121176761 1.28414953967523 0.702888285129247 0.339530495902864
"B2B015" 2 "S04M25" 2015 1.5 4 0 6 186.3 23738.8305 1 0 0 0 1 0 1 1 0 186.3 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0.5 10 0 0.875755443333333 0.00832642023533256 0.00824163833147835 0.00835468086995063 0.891844555604427 5.74090687717915 -4.84906232157472 -2.43959958365747 24.6034647266436 -27.0430643103011 261.505307707692 123.788362147949 2.11251932871643 65.3763269259423 59.3782895589604 1.0186741551119 2.11251932858106 0.33325887770266 -0.0251671652952613
"B2B018" 2 "S02M46" 2015 1.5 2 0 15 0 23738.8305 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 1.558318289 0.0345037485177783 0.0157638191170159 0.0532436779185406 -0.840593976787638 1.53301709244495 -2.37361106923259 -0.243709794290775 5.18689178828969 -5.43060158258047 134.656159046154 169.084251132714 0.796384986443605 67.3280795231154 118.498241963248 0.537316616209235 0.918459895601265 0.520818796239543 -0.190574678719689
"B2B019" 2 "S02M29" 2015 1.5 2 0 15 120.5 23738.8305 0 0 1 0 0 1 0 0 0 0 0 120.5 0 0 0 0 0 0 0 0 50 0 0 1 0 0 0 0.336884699 0.00252761157833609 0.00208323829344281 0.00297198486322937 0.964030471771823 10.790858468453 -9.8268279966812 -0.905454007691003 11.8779048455106 -12.7833588532016 266.108846153846 128.5150979158 2.07064267521466 133.054423076923 76.4667819106689 1.45572696748002 2.07064267521466 0.746561391371041 0.349457780057218
"B2B023" 2 "S03M21" 2015 1.5 3 0 17.5 65.2 23738.8305 0 0 0 0 1 1 0 0 1 0 0 0 0 65.2 0 0 0 0 0 0 0 0 40 0 0 0 0.5 0.902373698 0.0124150698854835 0.00665089414414532 0.0152971577561526 0.781145451049626 4.4340161752679 -3.65287072421828 -1.05159916743648 28.6475943857381 -29.6991935531745 202.906675392308 135.819744150881 1.49394093370475 67.6355584629744 74.2264264520051 0.947710070242445 1.49394093370961 0.40587695935559 -0.136927827369311
"B2B024" 2 "S03M22" 2015 1.5 3 0 7.5 192.865 23738.8305 0 0 1 0 0 0 1 0 1 0 0 189.7 0 0 0 3.165 0 0 0 0 65 0 0 0 1.5 0 0 0.568286988 0.00709600799003373 0.00867004563390958 0.0063089891680958 0.961316713996853 11.6049858009442 -10.6436690869473 -2.08480439149129 30.6143303941475 -32.6991347856388 297.075312276923 138.151252649115 2.15036278412512 99.0251040927949 50.1183063229346 1.22494089262793 2.1503627841341 0.8478304932054 0.581529354155835
"B2B025" 2 "S02M47" 2015 1.5 2 0 6 267.85 23738.8305 0 0 1 0 0 0 0 0 1 0 0 267.85 0 0 0 0 0 0 0 0 60 0 0 0 0 0 0.5 0.555681066 0.00636534401711657 0.00642012313745182 0.00631056489678131 0.943984957904664 16.8045126286007 -15.860527670696 -1.21856773986341 27.2911186141138 -28.5096863539772 296.578330823077 148.029396927517 2.00350968779733 148.289165410615 75.0993247380179 1.27807164955103 2.0035096877974 0.974690549134043 0.507393395682341
"B2B026" 2 "S02M32" 2015 1.5 2 0 20 87.685 23738.8305 1 0 0 0 0 0 1 0 0 87.6 0 0 0 0 0 0.085 0 0 30 0 0 0 0 0 0.5 0 0 0.778091927 0.0090972032117622 0.00805191440860033 0.0101424920149241 0.954181283118504 13.7456150644487 -12.7914337813302 -0.729078806755789 3.12244914925894 -3.85152795601473 139.30935074 89.1256153232701 1.56306747767976 69.6546753699615 50.3085797157737 0.965392265522454 1.56306747767795 0.802433630191445 0.210051368449986
"B2B027" 2 "S04M32" 2015 1.5 4 0 5 178.51 23738.8305 0 0 1 1 0 0 0 1 1 0 0 143.35 35.16 0 0 0 0 0 0 0 35 35 0 0 0 11 0 0.367995835333333 0.0122312269863 0.00645133210269679 0.0141578586141677 0.869529471066971 8.4771353395862 -7.60760586851923 -2.16429324821208 35.3553003913124 -37.5195936395244 311.412591884615 129.75536477176 2.39999781459818 77.6012248930769 59.6577768890946 1.09717060889188 2.40950898309963 0.369491834392995 0.0586518299345494
"B2B032" 2 "S03M08" 2015 1.5 3 0 15 86.535 23738.8305 0 0 0 1 1 0 1 0 0 0 0 0 29.085 43.7 0 13.75 0 0 0 0 0 25 40 0 11 0 0 0.818925216666667 0.00606353601822008 0.00816279722783062 0.00501390541341482 0.88008950083523 1.79924141742567 -0.919151916590444 -1.84353393172935 13.0605674907262 -14.9041014224556 177.434963046154 92.404132185435 1.92020593505581 59.1449876812564 49.3712871566697 1.05638038831909 1.9202059351004 0.448070976859211 -0.159547662908598
"B2B035" 2 "S02M33" 2015 1.5 2 0 20 71.351 23738.8305 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 71.351 0 0 0 0 0 0 0 0 30 0 0 0.705887807 0.019383828260271 0.017094169329002 0.02167348719154 0.199613098164906 1.26207099468684 -1.06245789652193 -0.819214371921369 9.87136043381129 -10.6905748057327 81.8064843606923 64.4593808827798 1.26911681806964 40.9032421795769 53.7293084769724 0.762331863214428 1.26911681804349 0.387199434750671 -0.225834372236978
"B2B036" 2 "S06M11" 2015 1.5 6 0 7.5 173.34 23738.8305 0 0 1 1 1 0 1 1 1 0 0 104.04 46.4 8.8 0 5.355 8.745 0 0 0 25 20 20 0 1 20 0 0.696568956333333 0.00931554290605514 0.00776388179206004 0.00962587512885416 0.900779095443264 6.47721216194527 -5.57643306650201 -4.80241704621927 32.2294653538631 -37.0318824000824 311.762877207692 106.151943617096 2.93694930666802 51.9604795328846 30.4021118445795 1.17449262921453 2.93694930652885 0.439893637385402 0.299434128823103
"B2B039" 2 "S03M02" 2015 1.5 3 0 4 120.51 23738.8305 1 0 1 0 1 0 0 0 0 24.275 0 90.265 0 5.97 0 0 0 0 10 0 40 0 20 0 0 0 0 0.852814661333333 0.00358141438754656 0.0042910219923914 0.00322661058512415 0.935021730841436 5.76034420962793 -4.82532247878649 -1.52074315415104 18.3136659404105 -19.8344090945615 215.563835553846 129.945050728951 1.65888453884623 71.8546118501538 53.0187095083952 1.2392758239432 1.65888453880481 0.706239601166337 0.234068494792268
"B2B040" 2 "S04M28" 2015 1.5 4 0 5 85.685 23738.8305 0 0 0 1 1 1 0 0 1 0 0 0 83.85 1.835 0 0 0 0 0 0 0 25 40 0 0 0 0 0.692384214333333 0.00968789942984445 0.00591577794358868 0.0109452732585964 0.852395851647187 7.6459415717684 -6.79354572012122 -2.18785651764909 29.590900649378 -31.7787571670271 158.506562838462 109.549050491691 1.44690038048741 39.6266407098269 33.0487026193939 0.89195748753399 1.44690038050647 0.705696254830788 0.507896772472303
"B2B044" 2 "S03M17" 2015 1.5 3 0 35 0 23738.8305 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0.5 1.03887885933333 0.0206720094571773 0.0114871921414691 0.0252644181150315 0.357874165843334 9.08935826571774 -8.73148409987441 -2.09559965213894 23.5349104874913 -25.6305101396302 130.020649859231 121.438329807081 1.07067225039889 43.340216619641 65.9253482254562 0.583702069711327 1.31276908589967 0.396600278297676 0.0219382555627447
"B2B046" 2 "S03M20" 2015 1.5 3 0 11.5 158.8 23738.8305 0 1 0 0 1 0 0 0 1 0 0 0 0 158.8 0 0 0 0 0 0 0 0 45 0 0 0 20 1.03887885933333 0.0198253477254486 0.0130452366495933 0.0232154032633762 0.242210256468161 1.93645977744962 -1.69424952098146 -0.791370284238295 19.7481218667585 -20.5394921509968 171.393220386923 91.7046508871766 1.86896977120372 57.1310734615641 61.1283230225527 0.970014562455635 1.86896977116537 0.290908555283571 -0.0780184912480249
"B2B051" 2 "S03M10" 2015 1.5 3 0 7.5 219.705 23738.8305 0 0 0 1 0 1 1 0 0 0 0 0 218.35 0 0 1.355 0 0 0 0 0 75 0 1.5 1.5 0 0 0.484838506666667 0.00986524073819188 0.00623858016119294 0.0116785710266913 0.591896801570424 6.09220957750834 -5.50031277593792 -2.65043479697061 20.9614391132023 -23.6118739101729 218.235923076923 84.1761057983119 2.59261129993138 72.7453076923077 30.5082036562064 1.43626133520887 2.59261129993138 0.855329487170485 0.620338674801122
"B2B053" 2 "S02M30" 2015 1.5 2 0 17.5 52.55 23738.8305 0 0 0 1 0 1 0 0 0 0 0 0 52.55 0 0 0 0 0 0 0 0 35 0 0.5 0 0 0 0.093623645 0.0047711369806843 0.00277292492837686 0.00676934903299174 0.95165488080478 14.5035357585659 -13.5518808777611 -0.460715233962377 11.4162015617395 -11.8769167957019 196.654615384615 101.050448404529 1.9461033423361 98.3273076923077 54.5948765288528 1.41144034989051 1.9461033423361 0.866216801224129 0.604459242015468
"B2B054" 2 "S04M21" 2015 1.5 4 0 10 108.395 23738.8305 0 1 0 1 0 1 1 0 0 0 0 0 102.35 0 0 6.045 0 0 0 0 0 55 0 0 1.5 0 0 0.822178469333333 0.0150033331907244 0.00993354712868941 0.0166932618780694 0.440695408375721 3.62474153141176 -3.18404612303604 -4.06635499755537 20.8847290382042 -24.9510840357596 193.652312278462 113.037048901328 1.71317558411759 48.4130780696154 37.4343257319134 0.913694176550036 1.71317558411759 0.604155165285611 0.38368431156428
"B2B055" 2 "S06M02" 2015 1.5 6 0 11.5 93.955 23738.8305 1 1 0 1 1 1 0 1 0 3.85 0 0 27.26 62.5 0 0 0.345 0 10 0 0 25 40 0 0 5 0 0.827720859066667 0.0100888653780771 0.00772682676450348 0.0105612731007918 0.665714446825444 3.87440542392026 -3.20869097709482 -5.15351294133391 25.2085119260906 -30.3620248674245 262.7042408 133.959845431741 1.96106706418873 43.7840401323077 40.9815337273585 0.958431590978695 1.96106706418143 0.352820460112346 0.206854132271537
"B2B060" 2 "S04M19" 2015 1.5 4 0 7.5 131.26 23738.8305 1 0 1 0 1 1 0 0 0 4.325 0 96.6 0 27.85 2.485 0 0 0 6 0 30 0 40 0.5 0 0 0 0.695758445833333 0.0045556244089174 0.00367712162300229 0.0048484586708891 0.854914130081483 6.50580212902891 -5.65088799894743 -2.710026543199 25.898384997922 -28.608411541121 239.786586976923 172.84531536073 1.38729005455824 59.9466467445385 59.6476395733633 0.915754601533255 1.38729005457716 0.558317170302309 0.326118587883466
"B2B063" 2 "S02M27" 2015 1.5 2 0 22.5 195.935 23738.8305 1 0 0 0 0 1 0 0 0 186.75 0 0 0 0 9.185 0 0 0 30 0 0 0 0 1.5 0 0 0 0.144457812 0.00321078915041156 0.00238467935260527 0.00403689894821785 0.969978733648739 9.00637990537816 -8.03640117172942 -0.826746448746272 14.5991148951567 -15.425861343903 153.849402366923 101.884740280388 1.51003380823789 76.9247011834615 61.6091799775132 1.22672400355869 1.51003380823789 0.696047855137548 0.387226851148806
"B2B064" 2 "S06M03" 2015 1.5 6 0 2 266.485 23738.8305 1 0 1 1 0 1 1 1 0 7.745 0 201.1 23.76 0 0.255 5.125 28.5 0 6 0 40 25 0 1 5.5 10.5 0 0.4328490272 0.00730162475835897 0.00553923125666164 0.00765410345869844 0.835161367109571 6.90763835404217 -6.0724769869326 -4.7765699419647 27.3004692016363 -32.077039143601 318.746 110.678294529122 2.87993234225462 53.1243333333333 44.0097299554102 1.02122990212426 2.87993234225462 0.255920114581041 0.115305147266042
"B2B065" 2 "S06M01" 2015 1.5 6 0 2 274.495 23738.8305 1 1 1 1 1 0 1 0 0 43 0 92.85 77.55 57 0 4.095 0 0 11 0 15 30 40 0 5.5 0 0 0.760120770733333 0.00855764362407538 0.00846197232951614 0.00857677788298723 0.838696292194744 5.56805021369017 -4.72935392149543 -5.52285126197946 19.859480958348 -25.3823322203275 292.860604646154 112.426751487859 2.60490142043978 48.8101007739872 42.433320880887 0.994858099340075 2.60490142031603 0.268496243519451 -0.0104500450488916
"B2B067" 2 "S04M23" 2015 1.5 4 0 2 261.45 23738.8305 0 1 1 0 1 0 0 1 0 0 0 256.95 0 4.5 0 0 0 0 0 0 70 0 10 0 0 0 0 0.98143224 0.0102080949148381 0.0100530571529856 0.010259774168789 0.686899671469068 5.27116511457962 -4.58426544311055 -1.80663286199859 22.2458067361538 -24.0524395981524 301.344993442308 164.08750609266 1.83648956960891 75.3362483587308 75.8653684236425 0.833405320201701 1.83648956956384 0.339544579283369 -0.0272827346570191
"B2B068" 2 "S03M07" 2015 1.5 3 0 15 67.445 23738.8305 1 0 0 0 1 0 1 0 0 66.115 0 0 0 0 0 1.33 0 0 40 0 0 0 10 0 5.5 0 0 0.852814661333333 0.00686510624389151 0.00790396684398288 0.00634567594384583 0.908806247001373 5.92232047899559 -5.01351423199422 -1.30898604651569 19.4944552330142 -20.8034412795299 140.460496919231 116.451004651402 1.20617677228034 46.8201656397436 46.7941415440035 0.848045752978833 1.20617677228034 0.709769656051297 0.0928534270845576
"B2B069" 2 "S02M44" 2015 1.5 2 0 35 200.85 23738.8305 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 23.75 177.1 0 0 0 0 0 0 0 16 15 0 0.991016846 0.0172923107357755 0.0112122717103949 0.023372349761156 0.945224228439939 10.9551543120122 -10.0099300835723 -0.878403436965176 35.007520069131 -35.8859235060962 167.075051217692 182.687473112292 0.914540271269702 83.5375256088462 96.0271310049734 0.95758580157131 0.914540271269702 0.908168992815041 0.773758403788847
"B2B072" 2 "S04M33" 2015 1.5 4 0 13.5 86.125 23738.8305 1 0 0 0 0 1 0 1 1 84.43 0 0 0 0 0 0 1.695 0 35 0 0 0 0 0 0 10 0 0.191081124666667 0.0174350918103619 0.00613330042550707 0.0212023556053135 0.82135519279931 6.81528758234837 -5.99393238954906 -2.43599128035358 22.5751076552221 -25.0110989355757 200.364104092308 167.3194763521 1.19749420964401 50.0910260226346 56.5975981484569 0.921484432560121 1.19749420964378 0.563419998554865 0.437699477766301
"B2B079" 2 "S03M09" 2015 1.5 3 0 12.5 24.625 23738.8305 1 0 0 0 0 1 1 0 0 24.45 0 0 0 0 0 0.175 0 0 25 0 0 0 0 0.5 1.5 0 0 0.518727951333333 0.00986666131215509 0.00597974977734521 0.01181011707956 0.625085169607383 8.09315789813494 -7.46807272852755 -1.81806614103454 17.172984496552 -18.9910506375865 162.704055183846 133.879700633752 1.21530041084382 54.2346850613333 53.0414885742123 0.847948834584734 1.21530041084576 0.724912778955309 0.489668341642731
"B2B080" 2 "S02M34" 2015 1.5 2 0 6.5 76.96 23738.8305 0 0 1 0 0 0 1 0 0 0 0 76.2 0 0 0 0.76 0 0 0 0 60 0 0 0 1.5 0 0 0.296749416 0.00554511674424688 0.00775047334943788 0.00333976013905588 0.964983485387141 10.5049543838577 -9.53997089847054 -0.545736097000419 14.4671348897144 -15.0128709867148 237.689882107692 134.499500868179 1.76721757756297 118.844941053538 70.3091484235328 1.207849308071 1.7672175775599 0.912003021581973 0.682585879990497
"B2B081" 2 "S03M06" 2015 1.5 3 0 15 100.85 23738.8305 0 1 1 0 0 0 1 0 0 0 0 100.85 0 0 0 0 0 0 0 0 45 0 0 0 1.5 0 0 0.668424815333333 0.0134895382827197 0.0121731315766849 0.0141477416357371 0.707877554268058 8.01873386763554 -7.31085631336748 -2.30897715376007 12.8618211206208 -15.1707982743809 186.567367730769 124.199135522057 1.50216317486071 62.1891225771538 47.0165062215614 0.947057476549578 1.50216317483682 0.794457258149412 0.415635756702467
"B2B082" 2 "S02M43" 2015 1.5 2 0 25 140.12 23738.8305 0 0 0 0 0 1 0 1 0 0 0 0 0 0 12.82 0 127.3 0 0 0 0 0 0 15 0 40 0 0.357382731 0.0119166798151009 0.00554503665439987 0.018288322975802 0.546475185791903 2.60052454254209 -2.05404935675019 -0.282980170776164 5.89842452060215 -6.18140469137831 235.480344973077 154.993438612718 1.51929234605519 117.740172487308 97.6443974280656 1.2238908258935 1.51929234608082 0.662946787789564 0.325363769329677
"B2B083" 2 "S04M31" 2015 1.5 4 0 6 95.11 23738.8305 0 0 0 1 1 0 1 0 1 0 0 0 52.905 40.695 0 1.51 0 0 0 0 0 30 50 0 5 0 0 0.797989900166667 0.00672747933594531 0.00874939547158621 0.00605350729073168 0.923932618041534 5.2754767441705 -4.35154412612897 -2.05761755247504 25.9568803812026 -28.0144979336777 164.580316323077 91.8440547272137 1.79195394641381 41.14507908 39.6136292598273 0.834790205044799 1.79195394635747 0.384719869148786 0.159670851317855
"B2B085" 2 "S02M36" 2015 1.5 2 0 16.5 118.3 23738.8305 0 0 0 0 1 0 1 0 0 0 0 0 0 87.85 0 30.45 0 0 0 0 0 0 40 0 10.5 0 0 0.501130065 0.00729723120195404 0.0103889811707865 0.00420548123312153 0.893206564581318 1.53345389965189 -0.640247335070573 -0.338677515749759 15.323904680935 -15.6625821966848 119.839432249231 51.2516361441723 2.33825573708747 59.9197161245769 48.2016816080206 1.1371767342093 2.33825573708319 0.354936328788831 -0.389644137018569
"B2B088" 2 "S03M24" 2015 1.5 3 0 13.5 16.75 23738.8305 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 16.75 0 0 0 0 0 0 0 0 15.5 10 0 0.660677897333333 0.0245705390633204 0.010977911207881 0.0313668529910401 0.852190965266639 6.75486722284015 -5.90267625757351 -0.967806091229546 29.8819022398401 -30.8497083310697 131.792734093077 134.53046546628 0.979649729422151 43.930911364359 47.5406205464823 0.82821102926126 0.979649729422151 0.894777750194026 0.799671348235633
"B2B090" 2 "S06M09" 2015 1.5 6 0 7.5 166.505 23738.8305 0 1 1 1 0 1 0 1 1 0 0 134.5 32.005 0 0 0 0 0 0 0 45 25 0 0 0 5.5 0 0.683012673866667 0.0169323155231402 0.00810986615946683 0.0186968053958748 0.617388708733583 7.01235888001846 -6.39497017128488 -4.98225785809573 26.2875067227721 -31.2697645808679 278.122037284615 108.858618044436 2.55489222884574 46.3536728803846 31.3582096711653 0.842182047106356 2.55489222876699 0.418932532337944 0.208570928103635
"B2B091" 2 "S04M26" 2015 1.5 4 0 8.5 69.66 23738.8305 0 0 0 0 1 1 1 1 0 0 0 0 0 51.06 0 18.6 0 0 0 0 0 0 50 1 20 0 0 0.851679141333333 0.0122913110583866 0.00796700891259321 0.0137327451069844 0.592184057570887 3.34034928781146 -2.74816523024057 -2.79647617974743 31.1332327167086 -33.929708896456 217.724597861538 119.413170567949 1.82328797423269 54.4311494651923 59.3066885550141 0.91231077568195 1.82328797428512 0.298815973179934 0.121282497247609
"B2B092" 2 "S06M12" 2015 1.5 6 0 11 115.17 23738.8305 1 0 0 0 1 1 1 1 1 20.71 0 0 0 12.8 0 1.71 79.95 0 10 0 0 0 25 0 5.5 15 6 0.677498920866667 0.0133832639670998 0.00755186067393356 0.0145495446257331 0.781742515249261 5.62470209236672 -4.84295957711746 -4.30052407220106 29.5839403690136 -33.8844644412146 226.385863453846 124.01129395196 1.82552617781364 37.7309772425641 42.4382862451677 0.824898020591597 1.82552617789388 0.279918131382356 0.206219632754024
"B2B093" 2 "S02M28" 2015 1.5 2 0 25 0 23738.8305 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.339521922 0.0180837089535033 0.0114269342730069 0.0247404836339997 0.0159606924191981 1.09971433220531 -1.08375363978611 -0.722073247235589 30.4379654841484 -31.1600387313839 96.4105379215385 97.796126310897 0.985831868381435 48.2052689607692 62.3344491092245 0.812452230497211 1.07055955164844 0.632269155168792 -0.227382057965396
"B2B097" 2 "S02M18" 2015 1.5 2 0 9 89.625 23738.8305 1 0 1 0 0 0 0 0 0 36.75 0 52.875 0 0 0 0 0 0 20 0 45 0 0 0 0 0 0 0.481342511 0.0024513933115565 0.0026324971312131 0.00227028949189988 0.96685863820571 6.6282723588579 -5.66141372065219 -0.908076178814192 14.0330881360334 -14.9411643148476 229.206923076923 110.371454502105 2.0766866225592 114.603461538462 69.9174928003916 1.6016434800358 2.0766866225592 0.687744994121907 0.131824049352507
"B2B098" 2 "S09M01" 2015 1.5 9 0 3.5 129.035 23738.8305 1 1 1 1 1 1 1 1 1 2.635 0 96.55 4.01 3.285 0 8.65 13.905 0 2 0 30 20 20 0 5.5 15 0 0.713055136166667 0.012247949129565 0.00804123305430551 0.0127737886389725 0.725363932950081 6.14198450534007 -5.41662057238999 -15.1739930688227 29.8053910482126 -44.9793841170353 300.069354276923 107.560341301718 2.78977688844626 33.3410393636923 23.751531800379 0.945436538410873 2.78977688844489 0.343286192954969 0.265004060220872
"B3B001" 3 "S02M39" 2015 1.5 2 0 15 17.385 23738.8305 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 17.385 0 0 0 0 0 0 0 0 10 0 1.696904653 0.0189055292564547 0.0151365504125718 0.0226745081003375 -0.175660217025988 1.34843964016259 -1.52409985718858 -1.30111856533897 29.2393777798851 -30.5404963452241 157.727307692308 179.255111103507 0.879904102713318 78.8636538461539 99.7943379626377 0.857326402583132 0.94631861517103 0.814381229389821 0.5504491472745
"B3B004" 3 "S02M34" 2015 1.5 2 0 10 149.06 23738.8305 0 0 1 0 0 0 1 0 0 0 0 148.1 0 0 0 0.96 0 0 0 0 70 0 0 0 1.5 0 0 0.296749416 0.00554511674424688 0.00775047334943788 0.00333976013905588 0.964983485387141 10.5049543838577 -9.53997089847054 -0.545736097000419 14.4671348897144 -15.0128709867148 228.974141276923 100.500117455539 2.2783470017159 114.487070639615 52.0709937510796 1.60369120904533 2.2783470017847 0.913398565568361 0.721629644181099
"B3B009" 3 "S02M28" 2015 1.5 2 0 20 1.135 23738.8305 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1.135 0 0 0 0 0 0 0 0 0 0 0 0 1.339521922 0.0180837089535033 0.0114269342730069 0.0247404836339997 0.0159606924191981 1.09971433220531 -1.08375363978611 -0.722073247235589 30.4379654841484 -31.1600387313839 109.858307692308 118.09558125969 0.930249095863554 54.9291538461538 86.8773295830658 0.655469218617059 0.930249095863554 0.477966428129759 -0.194795515785064
"B3B015" 3 "S06M07" 2015 1.5 6 0 7.5 188.095 23738.8305 0 1 0 1 1 1 1 0 1 0 0 0 185.9 0 0 2.195 0 0 0 0 0 70 6 0 1 0 0 0.807359269 0.0149057345263187 0.0096419084053931 0.0159584997505039 0.561235211655276 4.37804331356768 -3.8168081019124 -5.28308897769381 29.2287245835181 -34.511813561212 176.215633315385 74.3428965568682 2.37030895319756 29.3692722203077 29.0043511378769 0.837768518633008 2.3703089532809 0.238854246312101 0.110312764712062
"B3B016" 3 "S02M48" 2015 1.5 2 0 22.5 110.65 23738.8305 0 0 0 1 0 0 0 0 1 0 0 0 110.65 0 0 0 0 0 0 0 0 50 0 0 0 0 6 0.125172722 0.00814989789346796 0.00710980977238588 0.00918998601455004 0.945161969856677 16.4514090429969 -15.5062470731402 -1.06496370761598 26.2901756313809 -27.3551393389969 185.051572115385 91.6104434417761 2.01998336830447 92.5257860576923 51.8064038340689 1.51782750739009 2.01998336830447 0.822678264374328 0.111650375436178
"B3B017" 3 "S06M06" 2015 1.5 6 0 10 182.32 23738.8305 1 1 1 0 0 1 1 0 1 29.29 0 151.8 0 0 0 1.23 0 0 20 0 50 0 0 1 1.5 0 0 0.697516795 0.0142118058585113 0.00863299060635301 0.0153275689089429 0.660544637438216 8.49865788319508 -7.83811324575686 -6.4996495274587 26.1810310494936 -32.6806805769523 252.403283892308 117.912308371137 2.14060166728185 42.0672139820769 28.325389683367 1.00213540076574 2.14060166729164 0.546605281953906 0.290294857879033
"B3B019" 3 "S04M34" 2015 1.5 4 0 12.5 274.75 23738.8305 0 1 0 0 0 1 0 1 1 0 0 0 0 0 163.15 0 111.6 0 0 0 0 0 0 20 0 25 1.5 0.884918387666667 0.0290480191165509 0.0106544278857079 0.0351792161934985 0.192065181079244 2.90548709140988 -2.71342191033064 -1.68916849444975 17.663293645005 -19.3524621394547 190.863084107692 132.050575214241 1.4453786649398 47.7157710278462 47.1417371679317 0.876699010041969 1.44537866499678 0.526318212656513 0.307696370164864
"B3B020" 3 "S04M29" 2015 1.5 4 0 17.5 81.11 23738.8305 1 1 0 0 0 0 1 0 1 75.63 0 0 0 0 0 0.51 0 4.97 45 0 0 0 0 0 1.5 0 11 0.908841132333333 0.0175877011932031 0.0119078667628081 0.0194809793366681 0.533733096252027 8.29687520777717 -7.76314211152514 -2.2250278252158 23.8532096995465 -26.0782375247623 154.213151722308 120.476528812255 1.28002651838207 38.5532879293846 44.3671614671766 0.770222239906321 1.28002651840364 0.486448577258506 0.261586486098126
"B3B021" 3 "S03M20" 2015 1.5 3 0 10 161.85 23738.8305 0 1 0 0 1 0 0 0 1 0 0 0 0 150.05 0 0 0 11.8 0 0 0 0 40 0 0 0 1 1.03887885933333 0.0198253477254486 0.0130452366495933 0.0232154032633762 0.242210256468161 1.93645977744962 -1.69424952098146 -0.790966284681666 19.7481218667585 -20.5390881514402 183.795006816923 147.920713782222 1.24252379614337 61.2650022721282 86.2365106714738 0.894916028299467 1.2425237961356 0.347724105563435 -0.117207161809917
"B3B022" 3 "S02M35" 2015 1.5 2 0 25 93.875 23738.8305 0 0 0 1 0 0 1 0 0 0 0 0 93.55 0 0 0.325 0 0 0 0 0 35 0 0 0.5 0 0 0.72725776 0.00772778187795803 0.00844015998437193 0.00701540377154412 0.872940031851586 2.2456142493812 -1.37267421752962 -1.16689358730465 4.2936214069404 -5.46051499424506 122.394346153846 98.5549426596202 1.24188947657917 61.1971730769231 53.2986882183958 0.956971919400476 1.24188947657917 0.866411458974484 0.413886988168028
